Datetime,Cyanobacteria
8/11/2022 5:00:00 AM,4.49
8/11/2022 5:15:00 AM,4.04
8/11/2022 5:30:00 AM,3.75
8/11/2022 5:45:00 AM,3.78
8/11/2022 6:00:00 AM,3.92
8/11/2022 6:15:00 AM,3.77
8/11/2022 6:30:00 AM,3.68
8/11/2022 6:45:00 AM,3.79
8/11/2022 7:00:00 AM,4.24
8/11/2022 7:15:00 AM,4.01
8/11/2022 7:30:00 AM,3.92
8/11/2022 7:45:00 AM,3.57
8/11/2022 8:00:00 AM,3.56
8/11/2022 8:15:00 AM,3.54
8/11/2022 8:30:00 AM,3.27
8/11/2022 8:45:00 AM,3.11
8/11/2022 9:00:00 AM,2.71
8/11/2022 9:15:00 AM,3.26
8/11/2022 9:30:00 AM,2.98
8/11/2022 9:45:00 AM,2.99
8/11/2022 10:00:00 AM,2.90
8/11/2022 10:15:00 AM,2.47
8/11/2022 10:30:00 AM,2.62
8/11/2022 10:45:00 AM,2.58
8/11/2022 11:00:00 AM,2.49
8/11/2022 11:15:00 AM,2.59
8/11/2022 11:30:00 AM,2.35
8/11/2022 11:45:00 AM,2.48
8/11/2022 12:00:00 PM,2.29
8/11/2022 12:15:00 PM,2.75
8/11/2022 12:30:00 PM,2.18
8/11/2022 12:45:00 PM,2.19
8/11/2022 1:00:00 PM,2.35
8/11/2022 1:15:00 PM,2.24
8/11/2022 1:30:00 PM,2.56
8/11/2022 1:45:00 PM,2.40
8/11/2022 2:00:00 PM,2.86
8/11/2022 2:15:00 PM,2.28
8/11/2022 2:30:00 PM,2.52
8/11/2022 2:45:00 PM,3.09
8/11/2022 3:00:00 PM,3.13
8/11/2022 3:15:00 PM,3.15
8/11/2022 3:30:00 PM,3.06
8/11/2022 3:45:00 PM,3.38
8/11/2022 4:00:00 PM,3.56
8/11/2022 4:15:00 PM,3.66
8/11/2022 4:30:00 PM,3.71
8/11/2022 4:45:00 PM,3.79
8/11/2022 5:00:00 PM,3.48
8/11/2022 5:15:00 PM,4.45
8/11/2022 5:30:00 PM,4.09
8/11/2022 5:45:00 PM,3.96
